receita_por_mwh,tipo_receita,capacidade_max,taxa,tipo_custo,custo_colheita_por_t,custo_armazenamento_por_t,custo_carga_por_t,premio_produtor,expansao,UF,alfa_custo_usina,beta_custo_usina,custo_transporte_por_t_km,percentual_OPEX,fator_disponibilidade,cenario,cod_cenario_sem_ils,receita,inv_prob_sede_existente,inv_prob_sede_qualquer,heuristica,cod_cenario,max_avaliacoes_fitness
175,preco_leilao,1e6,8,conab,31,21.679999999999996,11.789642255999999,0.01,0,SP,4493904.529987199,3256452.5579617387,0.315,0.03,0.9,preco_leilao conab,27,175,20,75,2,27,1e4
175,preco_leilao,1e6,8,conab,31,21.679999999999996,11.789642255999999,0.01,0,PR,4493904.529987199,3256452.5579617387,0.315,0.03,0.9,preco_leilao conab,28,175,20,75,2,28,1e4
175,preco_leilao,1e6,8,conab,31,21.679999999999996,11.789642255999999,0.025,1,SP,4493904.529987199,3256452.5579617387,0.315,0.03,0.9,preco_leilao conab,29,175,20,75,2,29,1e4
175,preco_leilao,1e6,8,conab,31,21.679999999999996,11.789642255999999,0.025,1,PR,4493904.529987199,3256452.5579617387,0.315,0.03,0.9,preco_leilao conab,30,175,20,75,2,30,1e4
175,preco_leilao,1e6,8,conab,31,21.679999999999996,11.789642255999999,0.025,0,SP,4493904.529987199,3256452.5579617387,0.315,0.03,0.9,preco_leilao conab,31,175,20,75,2,31,1e4
175,preco_leilao,1e6,8,conab,31,21.679999999999996,11.789642255999999,0.025,0,PR,4493904.529987199,3256452.5579617387,0.315,0.03,0.9,preco_leilao conab,32,175,20,75,2,32,1e4
175,preco_leilao,1e6,8,conab,31,21.679999999999996,11.789642255999999,0.05,1,SP,4493904.529987199,3256452.5579617387,0.315,0.03,0.9,preco_leilao conab,33,175,20,75,2,33,1e4
175,preco_leilao,1e6,8,conab,31,21.679999999999996,11.789642255999999,0.05,1,PR,4493904.529987199,3256452.5579617387,0.315,0.03,0.9,preco_leilao conab,34,175,20,75,2,34,1e4
175,preco_leilao,1e6,8,conab,31,21.679999999999996,11.789642255999999,0.05,0,SP,4493904.529987199,3256452.5579617387,0.315,0.03,0.9,preco_leilao conab,35,175,20,75,2,35,1e4
175,preco_leilao,1e6,8,conab,31,21.679999999999996,11.789642255999999,0.05,0,PR,4493904.529987199,3256452.5579617387,0.315,0.03,0.9,preco_leilao conab,36,175,20,75,2,36,1e4
175,preco_leilao,1e6,8,conab,31,21.679999999999996,11.789642255999999,0.075,1,SP,4493904.529987199,3256452.5579617387,0.315,0.03,0.9,preco_leilao conab,37,175,20,75,2,37,1e4
175,preco_leilao,1e6,8,conab,31,21.679999999999996,11.789642255999999,0.075,1,PR,4493904.529987199,3256452.5579617387,0.315,0.03,0.9,preco_leilao conab,38,175,20,75,2,38,1e4
175,preco_leilao,1e6,8,conab,31,21.679999999999996,11.789642255999999,0.075,0,SP,4493904.529987199,3256452.5579617387,0.315,0.03,0.9,preco_leilao conab,39,175,20,75,2,39,1e4
175,preco_leilao,1e6,8,conab,31,21.679999999999996,11.789642255999999,0.075,0,PR,4493904.529987199,3256452.5579617387,0.315,0.03,0.9,preco_leilao conab,40,175,20,75,2,40,1e4
175,preco_leilao,1e6,8,conab,31,21.679999999999996,11.789642255999999,0.1,1,SP,4493904.529987199,3256452.5579617387,0.315,0.03,0.9,preco_leilao conab,41,175,20,75,2,41,1e4
175,preco_leilao,1e6,8,conab,31,21.679999999999996,11.789642255999999,0.1,1,PR,4493904.529987199,3256452.5579617387,0.315,0.03,0.9,preco_leilao conab,42,175,20,75,2,42,1e4
175,preco_leilao,1e6,8,conab,31,21.679999999999996,11.789642255999999,0.1,0,SP,4493904.529987199,3256452.5579617387,0.315,0.03,0.9,preco_leilao conab,43,175,20,75,2,43,1e4
175,preco_leilao,1e6,8,conab,31,21.679999999999996,11.789642255999999,0.1,0,PR,4493904.529987199,3256452.5579617387,0.315,0.03,0.9,preco_leilao conab,44,175,20,75,2,44,1e4
175,preco_leilao,1e6,8,conab,31,21.679999999999996,11.789642255999999,0.25,1,SP,4493904.529987199,3256452.5579617387,0.315,0.03,0.9,preco_leilao conab,45,175,20,75,2,45,1e4
175,preco_leilao,1e6,8,conab,31,21.679999999999996,11.789642255999999,0.25,1,PR,4493904.529987199,3256452.5579617387,0.315,0.03,0.9,preco_leilao conab,46,175,20,75,2,46,1e4
175,preco_leilao,1e6,8,conab,31,21.679999999999996,11.789642255999999,0.25,0,SP,4493904.529987199,3256452.5579617387,0.315,0.03,0.9,preco_leilao conab,47,175,20,75,2,47,1e4
175,preco_leilao,1e6,8,conab,31,21.679999999999996,11.789642255999999,0.25,0,PR,4493904.529987199,3256452.5579617387,0.315,0.03,0.9,preco_leilao conab,48,175,20,75,2,48,1e4
175,preco_leilao,1e6,9,conab,31,21.679999999999996,11.789642255999999,0.01,1,SP,4493904.529987199,3256452.5579617387,0.315,0.03,0.9,preco_leilao conab,49,175,20,75,2,49,1e4
175,preco_leilao,1e6,9,conab,31,21.679999999999996,11.789642255999999,0.01,1,PR,4493904.529987199,3256452.5579617387,0.315,0.03,0.9,preco_leilao conab,50,175,20,75,2,50,1e4
175,preco_leilao,1e6,9,conab,31,21.679999999999996,11.789642255999999,0.01,0,SP,4493904.529987199,3256452.5579617387,0.315,0.03,0.9,preco_leilao conab,51,175,20,75,2,51,1e4
175,preco_leilao,1e6,9,conab,31,21.679999999999996,11.789642255999999,0.01,0,PR,4493904.529987199,3256452.5579617387,0.315,0.03,0.9,preco_leilao conab,52,175,20,75,2,52,1e4
175,preco_leilao,1e6,9,conab,31,21.679999999999996,11.789642255999999,0.025,1,SP,4493904.529987199,3256452.5579617387,0.315,0.03,0.9,preco_leilao conab,53,175,20,75,2,53,1e4
175,preco_leilao,1e6,9,conab,31,21.679999999999996,11.789642255999999,0.025,1,PR,4493904.529987199,3256452.5579617387,0.315,0.03,0.9,preco_leilao conab,54,175,20,75,2,54,1e4
175,preco_leilao,1e6,9,conab,31,21.679999999999996,11.789642255999999,0.025,0,SP,4493904.529987199,3256452.5579617387,0.315,0.03,0.9,preco_leilao conab,55,175,20,75,2,55,1e4
175,preco_leilao,1e6,9,conab,31,21.679999999999996,11.789642255999999,0.025,0,PR,4493904.529987199,3256452.5579617387,0.315,0.03,0.9,preco_leilao conab,56,175,20,75,2,56,1e4
175,preco_leilao,1e6,9,conab,31,21.679999999999996,11.789642255999999,0.05,1,SP,4493904.529987199,3256452.5579617387,0.315,0.03,0.9,preco_leilao conab,57,175,20,75,2,57,1e4
175,preco_leilao,1e6,9,conab,31,21.679999999999996,11.789642255999999,0.05,1,PR,4493904.529987199,3256452.5579617387,0.315,0.03,0.9,preco_leilao conab,58,175,20,75,2,58,1e4
175,preco_leilao,1e6,9,conab,31,21.679999999999996,11.789642255999999,0.05,0,SP,4493904.529987199,3256452.5579617387,0.315,0.03,0.9,preco_leilao conab,59,175,20,75,2,59,1e4
175,preco_leilao,1e6,9,conab,31,21.679999999999996,11.789642255999999,0.05,0,PR,4493904.529987199,3256452.5579617387,0.315,0.03,0.9,preco_leilao conab,60,175,20,75,2,60,1e4
175,preco_leilao,1e6,9,conab,31,21.679999999999996,11.789642255999999,0.075,1,SP,4493904.529987199,3256452.5579617387,0.315,0.03,0.9,preco_leilao conab,61,175,20,75,2,61,1e4
175,preco_leilao,1e6,9,conab,31,21.679999999999996,11.789642255999999,0.075,1,PR,4493904.529987199,3256452.5579617387,0.315,0.03,0.9,preco_leilao conab,62,175,20,75,2,62,1e4
175,preco_leilao,1e6,9,conab,31,21.679999999999996,11.789642255999999,0.075,0,SP,4493904.529987199,3256452.5579617387,0.315,0.03,0.9,preco_leilao conab,63,175,20,75,2,63,1e4
175,preco_leilao,1e6,9,conab,31,21.679999999999996,11.789642255999999,0.075,0,PR,4493904.529987199,3256452.5579617387,0.315,0.03,0.9,preco_leilao conab,64,175,20,75,2,64,1e4
175,preco_leilao,1e6,9,conab,31,21.679999999999996,11.789642255999999,0.1,1,SP,4493904.529987199,3256452.5579617387,0.315,0.03,0.9,preco_leilao conab,65,175,20,75,2,65,1e4
175,preco_leilao,1e6,9,conab,31,21.679999999999996,11.789642255999999,0.1,1,PR,4493904.529987199,3256452.5579617387,0.315,0.03,0.9,preco_leilao conab,66,175,20,75,2,66,1e4
175,preco_leilao,1e6,9,conab,31,21.679999999999996,11.789642255999999,0.1,0,SP,4493904.529987199,3256452.5579617387,0.315,0.03,0.9,preco_leilao conab,67,175,20,75,2,67,1e4
175,preco_leilao,1e6,9,conab,31,21.679999999999996,11.789642255999999,0.1,0,PR,4493904.529987199,3256452.5579617387,0.315,0.03,0.9,preco_leilao conab,68,175,20,75,2,68,1e4
175,preco_leilao,1e6,9,conab,31,21.679999999999996,11.789642255999999,0.25,1,SP,4493904.529987199,3256452.5579617387,0.315,0.03,0.9,preco_leilao conab,69,175,20,75,2,69,1e4
175,preco_leilao,1e6,9,conab,31,21.679999999999996,11.789642255999999,0.25,1,PR,4493904.529987199,3256452.5579617387,0.315,0.03,0.9,preco_leilao conab,70,175,20,75,2,70,1e4
175,preco_leilao,1e6,9,conab,31,21.679999999999996,11.789642255999999,0.25,0,SP,4493904.529987199,3256452.5579617387,0.315,0.03,0.9,preco_leilao conab,71,175,20,75,2,71,1e4
175,preco_leilao,1e6,9,conab,31,21.679999999999996,11.789642255999999,0.25,0,PR,4493904.529987199,3256452.5579617387,0.315,0.03,0.9,preco_leilao conab,72,175,20,75,2,72,1e4
